                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.56194,                 1.0283,                0.41855,                 1.0292,                0.97495,                 0.9731,                 0.9933,                0.82582,                0.97495,                 0.9731,                 0.9933,                0.79558,                0.72164,                 1.1075,                0.42867,                 1.2286,              0.0002972,              0.0002972,              0.0002972
                     89,                0.59336,                 1.0077,                0.44514,                 1.0427,                0.97548,                0.99461,                0.99378,                0.80459,                0.97548,                0.99461,                0.99378,                0.78285,                 0.7284,                 1.1269,                0.41856,                 1.2467,              0.0002774,              0.0002774,              0.0002774
                     90,                0.61668,                 1.0839,                0.44339,                 1.0932,                      1,                0.97223,                0.99405,                0.80302,                      1,                0.97223,                0.99405,                0.77728,                0.75029,                 1.1435,                0.41843,                 1.2605,              0.0002576,              0.0002576,              0.0002576
                     91,                0.51077,                0.86128,                0.39712,                 1.0315,                0.99334,                   0.95,                0.99285,                0.79943,                0.99334,                   0.95,                0.99285,                0.78593,                 0.7203,                 1.0934,                0.42936,                 1.2444,              0.0002378,              0.0002378,              0.0002378
                     92,                0.46977,                0.89251,                0.39759,                 1.0353,                0.97102,                      1,                0.99451,                0.80179,                0.97102,                      1,                0.99451,                0.79557,                0.72154,                 1.1391,                0.42032,                 1.2232,               0.000218,               0.000218,               0.000218
                     93,                0.49306,                0.87636,                0.41125,                 1.0373,                0.97339,                      1,                0.99451,                0.79248,                0.97339,                      1,                0.99451,                0.79279,                0.72647,                 1.1466,                0.41942,                 1.2329,              0.0001982,              0.0001982,              0.0001982
                     94,                0.43705,                0.87511,                0.36366,                 1.0046,                0.97376,                      1,                0.99378,                0.81071,                0.97376,                      1,                0.99378,                0.80441,                0.72712,                  1.107,                0.42913,                 1.2296,              0.0001784,              0.0001784,              0.0001784
                     95,                0.43702,                0.83985,                0.37918,                0.98504,                0.97376,                      1,                0.99378,                0.80623,                0.97376,                      1,                0.99378,                0.79534,                0.72358,                 1.1001,                0.43105,                 1.2258,              0.0001586,              0.0001586,              0.0001586
                     96,                0.47168,                0.81762,                0.37956,                 1.0287,                0.97412,                      1,                0.99451,                0.82587,                0.97412,                      1,                0.99451,                0.79871,                0.69983,                 1.1484,                0.40794,                 1.1981,              0.0001388,              0.0001388,              0.0001388
                     97,                0.43846,                0.82362,                0.35043,                0.99564,                0.97417,                      1,                0.99378,                0.81976,                0.97417,                      1,                0.99378,                0.79919,                0.68235,                 1.1319,                0.39317,                  1.182,               0.000119,               0.000119,               0.000119
                     98,                0.41374,                0.80208,                0.38244,                0.97121,                0.97472,                      1,                0.99451,                 0.8243,                0.97472,                      1,                0.99451,                0.79841,                0.67479,                 1.1512,                0.38325,                 1.1655,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.44397,                0.81189,                0.36144,                  1.021,                0.97399,                      1,                0.99378,                0.83124,                0.97399,                      1,                0.99378,                0.80263,                 0.6711,                 1.1252,                 0.3831,                 1.1817,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.40446,                0.79415,                 0.3566,                0.94443,                0.97353,                      1,                0.99378,                0.83261,                0.97353,                      1,                0.99378,                0.80533,                 0.6647,                 1.1066,                0.39056,                 1.1716,               5.96e-05,               5.96e-05,               5.96e-05
